episode_id,stage,start_local,end_local,n_epochs,duration_min
1,light,2026-04-12 23:20:00,2026-04-12 23:49:03,28,28.0
2,awake,2026-04-12 23:50:00,2026-04-12 23:50:00,1,1.0
3,light,2026-04-12 23:50:03,2026-04-12 23:55:03,6,6.0
4,awake,2026-04-12 23:56:03,2026-04-13 00:34:03,43,43.0
5,rem,2026-04-13 00:35:03,2026-04-13 00:35:03,1,1.0
6,awake,2026-04-13 00:36:03,2026-04-13 00:39:03,4,4.0
7,rem,2026-04-13 00:40:00,2026-04-13 00:40:00,1,1.0
8,awake,2026-04-13 00:40:03,2026-04-13 00:48:03,9,9.0
9,rem,2026-04-13 00:49:03,2026-04-13 00:49:03,1,1.0
10,awake,2026-04-13 00:50:00,2026-04-13 00:50:03,2,2.0
11,rem,2026-04-13 00:51:03,2026-04-13 00:53:03,3,3.0
12,awake,2026-04-13 00:54:03,2026-04-13 00:55:03,2,2.0
13,rem,2026-04-13 00:56:03,2026-04-13 00:58:03,3,3.0
14,awake,2026-04-13 00:59:03,2026-04-13 01:07:03,10,10.0
15,rem,2026-04-13 01:08:03,2026-04-13 01:08:03,1,1.0
16,awake,2026-04-13 01:09:03,2026-04-13 01:14:03,7,7.0
17,rem,2026-04-13 01:15:03,2026-04-13 01:15:03,1,1.0
18,awake,2026-04-13 01:16:03,2026-04-13 01:19:03,4,4.0
19,deep,2026-04-13 01:20:00,2026-04-13 01:23:03,5,5.0
20,light,2026-04-13 01:24:03,2026-04-13 01:24:03,1,1.0
21,deep,2026-04-13 01:25:03,2026-04-13 01:25:03,1,1.0
22,light,2026-04-13 01:26:03,2026-04-13 01:27:03,2,2.0
23,deep,2026-04-13 01:28:03,2026-04-13 01:30:00,3,3.0
24,light,2026-04-13 01:30:03,2026-04-13 01:31:03,2,2.0
25,deep,2026-04-13 01:32:03,2026-04-13 01:33:03,2,2.0
26,light,2026-04-13 01:34:03,2026-04-13 01:34:03,1,1.0
27,deep,2026-04-13 01:35:03,2026-04-13 01:36:03,2,2.0
28,light,2026-04-13 01:37:03,2026-04-13 01:38:03,2,2.0
29,deep,2026-04-13 01:39:03,2026-04-13 01:39:03,1,1.0
30,light,2026-04-13 01:40:00,2026-04-13 01:41:03,3,3.0
31,deep,2026-04-13 01:42:03,2026-04-13 01:45:03,4,4.0
32,light,2026-04-13 01:46:03,2026-04-13 01:46:03,1,1.0
33,deep,2026-04-13 01:47:03,2026-04-13 01:48:03,2,2.0
34,light,2026-04-13 01:49:03,2026-04-13 01:50:03,3,3.0
35,deep,2026-04-13 01:51:03,2026-04-13 01:52:03,2,2.0
36,light,2026-04-13 01:53:03,2026-04-13 01:54:03,2,2.0
37,deep,2026-04-13 01:55:03,2026-04-13 01:55:03,1,1.0
38,light,2026-04-13 01:56:03,2026-04-13 01:57:03,2,2.0
39,deep,2026-04-13 01:58:03,2026-04-13 01:58:03,1,1.0
40,light,2026-04-13 01:59:03,2026-04-13 02:03:03,6,6.0
41,deep,2026-04-13 02:04:03,2026-04-13 02:04:03,1,1.0
42,light,2026-04-13 02:05:03,2026-04-13 02:20:00,17,17.0
43,deep,2026-04-13 02:20:03,2026-04-13 02:20:03,1,1.0
44,light,2026-04-13 02:21:03,2026-04-13 02:21:03,1,1.0
45,deep,2026-04-13 02:22:03,2026-04-13 02:22:03,1,1.0
46,light,2026-04-13 02:23:03,2026-04-13 02:23:03,1,1.0
47,deep,2026-04-13 02:24:03,2026-04-13 02:25:03,2,2.0
48,light,2026-04-13 02:26:03,2026-04-13 02:30:03,6,6.0
49,deep,2026-04-13 02:31:03,2026-04-13 02:32:03,2,2.0
50,light,2026-04-13 02:33:03,2026-04-13 02:46:03,15,15.0
51,rem,2026-04-13 02:47:03,2026-04-13 02:47:03,1,1.0
52,light,2026-04-13 02:48:03,2026-04-13 02:50:00,3,3.0
53,rem,2026-04-13 02:50:03,2026-04-13 02:50:03,1,1.0
54,deep,2026-04-13 02:51:03,2026-04-13 02:54:03,4,4.0
55,light,2026-04-13 02:55:03,2026-04-13 03:04:03,11,11.0
56,deep,2026-04-13 03:05:03,2026-04-13 03:05:03,1,1.0
57,light,2026-04-13 03:06:03,2026-04-13 03:10:03,6,6.0
58,deep,2026-04-13 03:11:03,2026-04-13 03:11:03,1,1.0
59,light,2026-04-13 03:12:03,2026-04-13 03:17:03,6,6.0
60,deep,2026-04-13 03:18:03,2026-04-13 03:18:03,1,1.0
61,light,2026-04-13 03:19:03,2026-04-13 03:19:03,1,1.0
62,deep,2026-04-13 03:20:00,2026-04-13 03:20:00,1,1.0
63,light,2026-04-13 03:20:03,2026-04-13 03:20:03,1,1.0
64,deep,2026-04-13 03:21:03,2026-04-13 03:21:03,1,1.0
65,light,2026-04-13 03:22:03,2026-04-13 03:25:03,4,4.0
66,deep,2026-04-13 03:26:03,2026-04-13 03:27:03,2,2.0
67,light,2026-04-13 03:28:03,2026-04-13 03:28:03,1,1.0
68,deep,2026-04-13 03:29:03,2026-04-13 03:29:03,1,1.0
69,light,2026-04-13 03:30:00,2026-04-13 03:30:00,1,1.0
70,deep,2026-04-13 03:30:03,2026-04-13 03:30:03,1,1.0
71,light,2026-04-13 03:31:03,2026-04-13 03:56:03,28,28.0
72,deep,2026-04-13 03:57:03,2026-04-13 03:57:03,1,1.0
73,light,2026-04-13 03:58:03,2026-04-13 04:00:00,3,3.0
74,deep,2026-04-13 04:00:03,2026-04-13 04:00:03,1,1.0
75,light,2026-04-13 04:01:03,2026-04-13 04:05:03,5,5.0
76,deep,2026-04-13 04:06:03,2026-04-13 04:06:03,1,1.0
77,light,2026-04-13 04:07:03,2026-04-13 04:12:03,7,7.0
78,rem,2026-04-13 04:13:03,2026-04-13 04:14:03,2,2.0
79,light,2026-04-13 04:15:03,2026-04-13 04:15:03,1,1.0
80,rem,2026-04-13 04:16:03,2026-04-13 04:17:04,2,2.0
81,light,2026-04-13 04:18:03,2026-04-13 04:20:00,3,3.0
82,rem,2026-04-13 04:20:03,2026-04-13 04:20:03,1,1.0
83,light,2026-04-13 04:21:04,2026-04-13 04:21:04,1,1.0
84,rem,2026-04-13 04:22:03,2026-04-13 04:22:03,1,1.0
85,light,2026-04-13 04:23:03,2026-04-13 04:24:03,2,2.0
86,rem,2026-04-13 04:25:03,2026-04-13 04:25:03,1,1.0
87,light,2026-04-13 04:26:03,2026-04-13 04:29:03,4,4.0
88,deep,2026-04-13 04:30:00,2026-04-13 04:30:00,1,1.0
89,light,2026-04-13 04:30:03,2026-04-13 04:30:03,1,1.0
90,rem,2026-04-13 04:31:03,2026-04-13 04:31:03,1,1.0
91,light,2026-04-13 04:32:03,2026-04-13 04:38:03,7,7.0
92,deep,2026-04-13 04:39:03,2026-04-13 04:39:03,1,1.0
93,light,2026-04-13 04:40:00,2026-04-13 04:41:03,3,3.0
94,deep,2026-04-13 04:42:03,2026-04-13 04:42:03,1,1.0
95,light,2026-04-13 04:43:03,2026-04-13 04:44:03,2,2.0
96,deep,2026-04-13 04:45:03,2026-04-13 04:45:03,1,1.0
97,light,2026-04-13 04:46:03,2026-04-13 05:35:03,55,55.0
98,rem,2026-04-13 05:36:03,2026-04-13 05:36:03,1,1.0
99,light,2026-04-13 05:37:03,2026-04-13 05:44:03,9,9.0
100,rem,2026-04-13 05:45:04,2026-04-13 05:45:04,1,1.0
101,light,2026-04-13 05:46:03,2026-04-13 05:55:03,11,11.0
102,rem,2026-04-13 05:56:03,2026-04-13 05:56:03,1,1.0
103,light,2026-04-13 05:57:03,2026-04-13 06:05:03,10,10.0
104,rem,2026-04-13 06:06:03,2026-04-13 06:06:03,1,1.0
