timestamp_local,ours_stage,ours_stage_collapsed,ours_bpm,movement,sdhr,withings_stage,withings_stage_collapsed,hr_bpm,stage_match_strict,stage_match_collapsed,bpm_delta
2026-04-12 23:20:00,light,light,84.0,729.0,6.0,,,,False,False,
2026-04-12 23:21:00,light,light,,,,,,,False,False,
2026-04-12 23:22:00,light,light,,,,,,,False,False,
2026-04-12 23:23:00,,,,,,,,,False,False,
2026-04-12 23:24:00,,,,,,,,,False,False,
2026-04-12 23:25:00,light,light,59.0,24.0,3.0,,,,False,False,
2026-04-12 23:26:00,light,light,70.0,42.0,2.2,,,,False,False,
2026-04-12 23:27:00,light,light,77.0,87.0,6.4,,,,False,False,
2026-04-12 23:28:00,light,light,71.0,44.0,4.3,,,,False,False,
2026-04-12 23:29:00,light,light,76.0,59.0,6.0,,,,False,False,
2026-04-12 23:30:00,light,light,74.0,14.0,8.9,,,,False,False,
2026-04-12 23:31:00,light,light,68.0,44.0,2.7,,,,False,False,
2026-04-12 23:32:00,light,light,64.0,13.0,2.8,,,,False,False,
2026-04-12 23:33:00,light,light,69.0,32.0,4.2,,,,False,False,
2026-04-12 23:34:00,light,light,71.0,11.0,1.9,,,,False,False,
2026-04-12 23:35:00,light,light,71.0,23.0,2.5,,,,False,False,
2026-04-12 23:36:00,light,light,69.0,17.0,1.9,,,,False,False,
2026-04-12 23:37:00,light,light,68.0,17.0,2.9,,,,False,False,
2026-04-12 23:38:00,light,light,71.0,18.0,2.2,,,,False,False,
2026-04-12 23:39:00,light,light,64.0,19.0,1.1,,,,False,False,
2026-04-12 23:40:00,light,light,63.0,19.0,2.6,,,,False,False,
2026-04-12 23:41:00,light,light,67.0,18.0,2.4,,,,False,False,
2026-04-12 23:42:00,light,light,74.0,25.0,4.9,,,,False,False,
2026-04-12 23:43:00,light,light,63.0,17.0,1.8,,,,False,False,
2026-04-12 23:44:00,light,light,64.0,25.0,1.7,,,,False,False,
2026-04-12 23:45:00,light,light,76.0,26.0,8.9,,,,False,False,
2026-04-12 23:46:00,light,light,61.0,14.0,2.8,,,,False,False,
2026-04-12 23:47:00,light,light,68.0,16.0,4.4,,,,False,False,
2026-04-12 23:48:00,light,light,70.0,15.0,3.1,,,,False,False,
2026-04-12 23:49:00,light,light,66.0,14.0,2.0,,,,False,False,
2026-04-12 23:50:00,light,light,66.0,17.0,3.3,,,,False,False,
2026-04-12 23:51:00,light,light,68.0,15.0,2.9,,,,False,False,
2026-04-12 23:52:00,light,light,64.0,15.0,1.9,,,,False,False,
2026-04-12 23:53:00,light,light,64.0,36.0,4.0,,,,False,False,
2026-04-12 23:54:00,light,light,70.0,29.0,2.5,,,,False,False,
2026-04-12 23:55:00,light,light,71.0,55.0,5.6,,,,False,False,
2026-04-12 23:56:00,awake,awake,93.0,63.0,4.3,,,,False,False,
2026-04-12 23:57:00,awake,awake,75.0,18.0,2.6,,,,False,False,
2026-04-12 23:58:00,awake,awake,70.0,17.0,6.2,,,,False,False,
2026-04-12 23:59:00,awake,awake,70.0,15.0,6.2,,,,False,False,
2026-04-13 00:00:00,awake,awake,75.0,19.0,2.5,,,,False,False,
2026-04-13 00:01:00,awake,awake,84.0,18.0,2.7,,,,False,False,
2026-04-13 00:02:00,awake,awake,77.0,16.0,4.0,,,,False,False,
2026-04-13 00:03:00,awake,awake,65.0,17.0,2.6,,,,False,False,
2026-04-13 00:04:00,awake,awake,63.0,14.0,3.3,,,,False,False,
2026-04-13 00:05:00,awake,awake,64.0,34.0,3.1,,,,False,False,
2026-04-13 00:06:00,awake,awake,96.0,77.0,7.4,,,,False,False,
2026-04-13 00:07:00,awake,awake,94.0,65.0,3.1,,,,False,False,
2026-04-13 00:08:00,awake,awake,96.0,77.0,3.4,,,,False,False,
2026-04-13 00:09:00,awake,awake,76.0,17.0,5.8,,,,False,False,
2026-04-13 00:10:00,awake,awake,70.0,16.0,2.4,,,,False,False,
2026-04-13 00:11:00,awake,awake,64.0,12.0,2.3,,,,False,False,
2026-04-13 00:12:00,awake,awake,66.0,12.0,4.1,,,,False,False,
2026-04-13 00:13:00,awake,awake,69.0,13.0,3.0,,,,False,False,
2026-04-13 00:14:00,awake,awake,68.0,10.0,2.9,,,,False,False,
2026-04-13 00:15:00,awake,awake,69.0,12.0,4.3,,,,False,False,
2026-04-13 00:16:00,awake,awake,64.0,13.0,2.8,,,,False,False,
2026-04-13 00:17:00,awake,awake,63.0,16.0,2.6,,,,False,False,
2026-04-13 00:18:00,awake,awake,64.0,10.0,2.4,,,,False,False,
2026-04-13 00:19:00,awake,awake,63.0,10.0,1.6,,,,False,False,
2026-04-13 00:20:00,awake,awake,65.0,10.0,0.9,,,,False,False,
2026-04-13 00:21:00,awake,awake,63.0,11.0,1.6,,,,False,False,
2026-04-13 00:22:00,awake,awake,67.0,14.0,2.4,,,,False,False,
2026-04-13 00:23:00,awake,awake,68.0,12.0,4.2,,,,False,False,
2026-04-13 00:24:00,awake,awake,69.0,11.0,3.8,,,,False,False,
2026-04-13 00:25:00,awake,awake,61.0,11.0,1.0,,,,False,False,
2026-04-13 00:26:00,awake,awake,64.0,12.0,3.2,,,,False,False,
2026-04-13 00:27:00,awake,awake,65.0,14.0,2.2,,,,False,False,
