timestamp_local,ours_bpm,hr_bpm
2026-04-12 23:34:00,71.0,67.0
2026-04-12 23:44:00,64.0,66.0
2026-04-12 23:53:00,64.0,69.0
2026-04-13 00:03:00,65.0,86.0
2026-04-13 00:12:00,66.0,67.0
2026-04-13 00:22:00,67.0,66.0
2026-04-13 00:31:00,66.0,77.0
2026-04-13 00:41:00,67.0,67.0
2026-04-13 00:50:00,73.5,70.0
2026-04-13 01:00:00,67.5,70.0
2026-04-13 01:09:00,71.0,66.0
2026-04-13 01:19:00,59.0,74.0
2026-04-13 01:29:00,57.0,63.0
2026-04-13 01:38:00,63.0,58.0
2026-04-13 01:47:00,56.0,61.0
2026-04-13 01:57:00,58.0,60.0
2026-04-13 02:06:00,55.0,62.0
2026-04-13 02:16:00,58.0,61.0
2026-04-13 02:25:00,56.0,61.0
2026-04-13 02:34:00,61.0,73.0
2026-04-13 02:44:00,67.0,94.0
2026-04-13 02:53:00,57.0,62.0
2026-04-13 03:03:00,58.0,64.0
2026-04-13 03:12:00,67.0,59.0
2026-04-13 03:21:00,58.0,58.0
2026-04-13 03:31:00,58.0,61.0
2026-04-13 03:40:00,59.0,65.0
2026-04-13 03:50:00,59.0,61.0
2026-04-13 03:59:00,58.0,53.0
2026-04-13 04:09:00,54.0,68.0
2026-04-13 04:18:00,66.0,73.0
2026-04-13 04:38:00,55.0,59.0
2026-04-13 04:47:00,57.0,59.0
2026-04-13 04:57:00,56.0,62.0
2026-04-13 05:06:00,57.0,61.0
2026-04-13 05:16:00,57.0,61.0
2026-04-13 05:25:00,57.0,64.0
2026-04-13 05:35:00,60.0,62.0
2026-04-13 05:44:00,66.0,69.0
2026-04-13 05:53:00,60.0,65.0
2026-04-13 06:04:00,64.0,64.0
2026-04-13 06:13:00,52.0,60.0
2026-04-13 06:23:00,53.0,60.0
2026-04-13 06:32:00,54.0,54.0
2026-04-13 06:41:00,58.0,59.0
2026-04-13 06:51:00,57.0,64.0
2026-04-13 07:00:00,57.0,59.0
2026-04-13 07:10:00,65.5,62.0
2026-04-13 07:19:00,75.0,79.0
2026-04-13 07:29:00,66.0,68.0
2026-04-13 07:38:00,56.0,59.0
2026-04-13 07:47:00,70.0,64.0
2026-04-13 07:57:00,67.0,60.0
2026-04-13 08:06:00,57.0,56.0
2026-04-13 08:16:00,58.0,66.0
2026-04-13 08:21:00,60.0,82.0
2026-04-13 08:30:00,67.5,81.0
2026-04-13 08:40:00,71.5,44.0
